bizid,Aid_Section,중위소득,homeless_Whether,school_year _system,1인가구 여부,신혼부부,농업인,소상공인,차상위계층,기초생활 및 생계급여
R2022031100185,-,-,-,-,-,-,-,-,-,-
R2022031100186,-,-,-,-,-,-,-,-,-,-
R2022031100187,-,-,-,-,-,-,-,-,-,-
R2022031100188,-,-,-,-,-,-,-,-,-,-
R2022031100189,-,-,-,-,-,-,-,-,-,-
R2022031100191,-,-,-,-,-,-,-,-,-,-
R2022031100192,-,-,-,-,-,-,-,-,-,-
R2022031100193,-,-,-,-,-,-,-,-,-,-
R2022031100194,-,-,-,-,-,-,-,-,-,-
R2022031100195,-,-,-,-,-,-,-,-,-,-
R2022031100196,-,-,-,-,-,-,-,-,-,-
R2022031100197,-,-,-,-,-,-,-,-,-,-
R2022031100198,-,-,-,-,-,-,-,-,-,-
R2022031100199,-,-,-,-,-,-,-,-,-,-
R2022031100200,-,-,-,-,-,-,-,-,-,-
R2022031100201,-,-,-,-,-,-,-,-,-,-
R2022031100202,-,-,-,-,-,-,-,-,-,-
R2022031100203,-,-,-,-,-,-,-,-,-,-
R2022031100204,-,-,-,-,-,-,-,-,-,-
R2022031100205,-,-,-,-,-,-,-,-,-,-
R2022031100206,-,-,-,-,-,-,-,-,-,-
R2022031100207,-,-,-,-,-,-,-,-,-,-
R2022031100208,-,-,-,-,-,-,-,-,1,-
R2022031100209,-,-,-,-,-,-,-,-,-,-
R2022031100210,-,-,-,-,-,-,-,-,-,-
R2022031100211,-,-,-,-,-,-,-,-,-,-
R2022031100212,-,-,-,-,1,-,-,-,-,-
R2022031100213,-,-,-,-,-,-,-,-,-,-
R2022031100214,-,-,-,-,-,-,-,-,-,-
R2022031100215,-,-,-,-,-,-,-,-,-,-
R2022031100216,-,-,-,-,-,-,-,-,-,-
R2022031100217,-,-,-,-,-,-,-,-,-,-
R2022031100218,-,-,-,-,-,-,-,-,-,-
R2022031100219,-,-,-,-,-,-,-,-,-,-
R2022031100220,-,-,-,-,-,-,-,-,-,-
R2022031100221,-,-,-,-,-,-,-,-,1,1
R2022031100222,-,-,-,-,-,-,-,-,-,-
R2022031100223,-,-,-,-,-,-,-,-,-,-
R2022031100224,-,-,-,-,-,-,-,-,-,-
R2022031100225,-,-,-,-,-,-,-,-,-,-
R2022031100226,-,-,-,-,-,-,-,-,-,-
R2022031100227,-,-,-,-,-,-,-,-,-,-
R2022031100228,-,-,-,-,-,-,-,-,-,-
R2022031100229,-,-,-,-,-,-,-,-,-,-
R2022031100230,-,-,-,-,-,-,-,-,-,-
R2022031100231,-,-,1,-,-,1,-,-,-,-
R2022031100232,-,-,-,-,-,-,-,-,-,-
R2022031100233,-,000~150,-,-,-,-,-,-,-,-
R2022031100234,-,-,-,-,-,-,-,-,-,-
R2022031100235,-,-,-,-,-,-,-,-,-,-
R2022031100236,-,-,-,-,-,-,-,-,-,-
R2022031100237,-,-,-,-,-,-,-,-,-,-
R2022031100238,-,-,-,-,-,-,-,-,-,-
R2022031100239,-,-,-,-,-,-,-,-,-,-
R2022031100240,-,-,-,-,-,-,-,-,-,-
R2022031100241,-,-,-,-,-,-,-,-,-,-
R2022031100242,-,-,-,-,-,-,-,-,-,-
R2022031100243,-,-,-,-,-,-,-,-,-,-
R2022031100244,-,-,-,-,-,-,-,-,-,-
R2022031100245,-,-,-,-,-,-,-,-,-,-
R2022031100246,-,-,-,-,-,-,-,-,-,-
R2022031100247,-,-,-,-,-,-,-,-,-,-
R2022031100248,-,-,-,-,-,-,-,-,-,-
R2022031100249,-,-,-,-,-,-,-,-,-,-
R2022031100250,-,000~150,-,-,-,-,-,-,-,-
R2022031100251,-,-,-,-,-,-,-,-,-,-
R2022031100252,-,-,-,-,-,-,-,-,-,-
R2022031100253,-,-,-,-,-,-,-,-,-,-
R2022031100254,-,-,-,-,-,-,-,-,-,-
R2022031100255,-,-,-,-,-,-,-,-,-,-
R2022031100256,-,-,-,-,-,-,-,-,-,-
R2022031100257,-,-,1,-,-,1,-,-,-,-
R2022031100258,-,000~120,-,-,-,-,-,-,-,-
R2022031100259,-,-,-,-,-,-,-,-,-,-
R2022031100260,-,-,-,-,-,-,-,-,1,-
R2022031100261,-,-,-,-,-,-,-,-,-,-
R2022031100262,-,-,-,-,-,-,-,-,-,-
R2022031100263,-,-,-,-,-,-,-,-,-,-
R2022031100264,-,-,-,-,-,-,-,-,-,-
R2022031100265,-,-,-,-,-,-,-,-,-,-
R2022031100266,-,-,-,-,-,-,-,-,-,-
R2022031100267,-,-,-,-,-,-,-,-,-,-
R2022031100268,-,-,-,-,-,-,-,-,-,-
R2022031100269,-,-,-,-,-,-,-,-,-,-
R2022031100270,-,-,-,-,-,-,-,-,-,-
R2022031100271,-,-,-,-,-,-,-,-,-,-
R2022031100272,-,-,-,-,-,-,-,-,-,-
R2022031100273,-,-,-,-,-,-,-,-,-,-
R2022031100274,-,-,-,-,-,-,-,-,-,-
R2022031100275,-,-,-,-,-,-,-,-,-,-
R2022031100276,-,-,-,-,-,-,-,-,-,-
R2022031100277,-,-,-,-,-,-,-,-,-,-
R2022031100278,-,-,-,-,-,-,-,-,-,-
R2022031100279,-,-,-,-,-,-,-,-,-,-
R2022031100280,-,-,-,-,-,-,-,-,-,-
R2022031100281,-,-,-,-,-,-,-,-,-,-
R2022031100282,-,-,-,-,-,-,-,-,-,-
R2022031100283,-,-,-,-,-,-,-,-,-,-
R2022031100284,-,-,-,-,-,-,-,-,-,-
R2022031100285,-,000~100,-,-,-,-,-,-,1,-
R2022031100286,-,000~100,1,-,-,-,-,-,-,-
R2022031100287,-,-,1,-,-,-,-,-,-,-
R2022031100288,-,-,1,-,-,-,-,-,-,-
R2022031100289,-,-,-,-,-,1,-,-,-,-
R2022031100290,-,-,-,-,-,-,-,-,-,-
R2022031100291,-,-,-,-,-,-,-,-,-,-
R2022031100292,-,-,-,-,-,-,-,-,-,-
R2022031100293,-,-,-,-,-,-,-,-,-,-
R2022031100294,-,-,1,-,-,1,-,-,-,-
R2022031100295,-,-,-,-,-,-,-,-,-,-
R2022031100296,-,-,-,-,-,-,-,-,-,-
R2022031100297,-,-,-,-,-,-,-,-,-,-
R2022031100298,-,-,-,-,-,-,-,-,-,-
R2022031100299,-,-,-,-,-,-,-,-,-,-
R2022031100300,-,-,-,-,-,-,-,-,-,-
R2022031100301,-,-,-,-,-,-,-,-,-,-
R2022031100302,-,-,-,-,-,-,-,-,-,-
R2022031100303,-,-,-,-,-,-,-,-,-,-
R2022031100304,-,-,-,-,-,-,-,-,-,-
R2022031100305,-,-,1,-,-,-,-,-,-,-
R2022031100306,-,-,-,-,-,-,-,-,-,-
R2022031100307,-,-,-,-,-,-,-,-,-,-
R2022031100308,-,-,-,-,-,-,-,-,-,-
R2022031100309,-,-,-,-,-,-,-,-,-,-
R2022031100310,-,-,-,-,-,-,-,-,-,-
R2022031100311,-,-,-,-,-,-,-,-,-,-
R2022031100312,-,-,-,-,-,-,-,-,-,-
R2022031100313,-,-,-,-,-,-,-,-,-,-
R2022031100314,-,-,-,-,-,-,-,-,-,-
R2022031100315,-,-,-,-,-,-,-,-,-,-
R2022031100316,-,-,-,-,-,-,-,-,-,-
